SAMPLE_ID,CISO,GICS_SECTOR,SIZEINDEX,GICS8_dummy,GICS6_dummy,GICS4_dummy,GICS2_dummy,MERGE_ID,GVKEY,VALUE_YEAR,PE_error,PB_error,EVSALES_error,EVEBIT_error,INDLVL_SELECT
GLOBAL,GBR,25,OECD,0,1,1,1,2000100911,100911,2000,2.656254397479048,2.625081354415624,3.306808617096719,2.265291324705583,3
GLOBAL,GBR,20,OECD,0,1,1,1,2000205999,205999,2000,0.6179978206929861,0.8595320072461771,0.6651276069811952,0.44263037362110463,3
GLOBAL,FRA,25,OECD,0,1,1,1,2000100001,100001,2000,0.09165113856147838,0.21567149466229543,0.6111609417646512,0.03198270181770974,3
GLOBAL,ESP,15,OECD,0,0,1,1,2000101529,101529,2000,0.47227008605338233,0.48122163666743245,0.5606673476228213,0.4404971184854259,2
GLOBAL,ESP,20,OECD,1,1,1,1,2000222186,222186,2000,0.5229771230211337,0.5123872173138424,0.375861728631875,0.4814405040999223,4
GLOBAL,DEU,25,OECD,0,0,1,1,2000221244,221244,2000,0.09284553605599714,0.45656227388322396,0.10545182627450701,0.2165399139524824,2
GLOBAL,DEU,45,OECD,0,0,1,1,2000228576,228576,2000,0.9317004370349677,0.985476399328509,0.9949133769554374,0.9509200356154153,2
GLOBAL,GBR,25,OECD,0,1,1,1,2000014222,014222,2000,0.105689341185521,0.3721844379236457,5.988742942970887,0.12933595390837918,3
GLOBAL,SWE,20,OECD,0,0,1,1,2000103051,103051,2000,0.4001697346342352,0.3331214614810948,0.05712648069217304,0.47893539363650695,2
GLOBAL,GBR,15,OECD,1,1,1,1,2000220814,220814,2000,0.14960457616863454,0.17983522125624354,0.4374043655644717,0.2030090069120489,4
GLOBAL,GBR,20,OECD,0,1,1,1,2000207519,207519,2000,0.5004198422479571,0.56328022997568,0.7277773710179283,0.22585192324059317,3
GLOBAL,FIN,25,OECD,1,1,1,1,2000211419,211419,2000,0.0607860385531241,0.05321277812598953,0.11154106781675344,0.04898110205328264,4
GLOBAL,DEU,15,OECD,0,1,1,1,2000100004,100004,2000,0.4776248005800667,0.49107227240526813,0.43157331420423595,0.11118999854135027,3
GLOBAL,GRC,15,OECD,0,0,1,1,2000243064,243064,2000,0.7460237689682989,0.740505640075684,0.8425393098780133,0.722189489978422,2
GLOBAL,NLD,20,OECD,1,1,1,1,2000102168,102168,2000,0.01830688233155831,0.48805808260564504,0.1321728327031667,0.23063933007835544,4
GLOBAL,FIN,25,OECD,0,0,1,1,2000101737,101737,2000,0.08923480629378845,0.12748151060069185,0.4411769377005401,0.4530200761591286,2
GLOBAL,GBR,35,OECD,0,0,1,1,2000100423,100423,2000,0.49367247928525193,0.5276612276950793,0.2617956770194791,0.13901604374544438,2
GLOBAL,GBR,20,OECD,0,1,1,1,2000210809,210809,2000,0.6739186122646789,0.476583324251465,0.34591233378806363,0.7684779815053294,3
GLOBAL,GBR,15,OECD,0,0,1,1,2000200189,200189,2000,0.6806090426120831,0.2105911037679881,0.959117280588502,0.9307306036970061,2
GLOBAL,DEU,20,OECD,0,1,1,1,2000212536,212536,2000,0.20352987562633953,0.3626219920840895,1.572464341412532,0.4431608709964892,3
GLOBAL,GBR,45,OECD,0,0,0,1,2000109179,109179,2000,0.7693990640030818,0.876691860870709,0.9721982409952354,0.8418718260856866,1
GLOBAL,ITA,25,OECD,1,1,1,1,2000102835,102835,2000,0.016929405352016702,0.04119308804558466,0.08284300948690522,0.09521561160495534,4
GLOBAL,ITA,25,OECD,0,1,1,1,2000202029,202029,2000,0.5868610966374401,0.041762637788528754,0.24189242111132278,0.5823127364024364,3
GLOBAL,NLD,45,OECD,0,0,0,1,2000001166,001166,2000,0.3915475278662625,0.38412371366176423,0.33155455469799405,0.3146015236040308,1
GLOBAL,SWE,20,OECD,0,0,1,1,2000223492,223492,2000,0.8302239667901583,0.8262632918595249,0.8673722203450799,0.7271156368661963,2
GLOBAL,ITA,20,OECD,0,0,1,1,2000102743,102743,2000,0.5998007331423877,0.6318246828890085,0.7510106397682396,0.3445063898191772,2
GLOBAL,DEU,45,OECD,0,1,1,1,2000225237,225237,2000,0.5364329310221287,0.4747551419029323,0.47375705725084283,0.08646115833046372,3
GLOBAL,AUT,20,OECD,0,0,1,1,2000101838,101838,2000,0.6407336595283416,0.2429780976827188,0.09153429311889616,0.798997319938161,2
GLOBAL,ITA,25,OECD,0,1,1,1,2000201535,201535,2000,0.8135843752661037,0.838553990833462,1.2603911015279778,0.5380439298580738,3
GLOBAL,DEU,25,OECD,1,1,1,1,2000101059,101059,2000,0.5822310952631966,0.0680030538565786,1.3070127073988764,1.0744286077669183,4
GLOBAL,GBR,45,OECD,1,1,1,1,2000227076,227076,2000,0.826795234099959,0.8533601431587121,0.9322678599734998,0.858049080992887,4
GLOBAL,GBR,20,OECD,0,0,1,1,2000063477,063477,2000,0.17219872920875806,0.0799920917504939,0.6044897264091663,0.3283820490738822,2
GLOBAL,BEL,45,OECD,0,1,1,1,2000101922,101922,2000,0.6232166168463401,0.4468423950582938,0.5783726959356602,0.24371880698793968,3
GLOBAL,ESP,30,OECD,0,0,1,1,2000207759,207759,2000,0.02341333681358086,0.0773687687358091,0.7203003414898412,0.20098309192309874,2
GLOBAL,DEU,15,OECD,0,1,1,1,2000017436,017436,2000,0.22869164205927534,0.25917197343759424,0.0350851717156624,0.021751954856776543,3
GLOBAL,DEU,45,OECD,0,1,1,1,2000228580,228580,2000,0.9509507812623486,0.8234008992747961,0.8987465078956095,0.8802956417309249,3
GLOBAL,DEU,35,OECD,0,0,0,1,2000100080,100080,2000,0.06565222210195423,0.07097612244691759,0.3471579857710936,0.03530229914813417,1
GLOBAL,DEU,25,OECD,0,0,1,1,2000100022,100022,2000,0.703058260859571,0.7402822368824328,0.48162024369942474,0.7491013065787789,2
GLOBAL,DEU,35,OECD,0,0,0,1,2000101076,101076,2000,0.5575958340830108,0.5461889366028219,0.6269287664978751,0.3619764160212976,1
GLOBAL,GBR,20,OECD,0,0,1,1,2000100376,100376,2000,0.13960312753149673,0.3652847366274225,0.07331000942153218,0.056434387685447084,2
GLOBAL,ITA,25,OECD,0,0,1,1,2000015406,015406,2000,0.47337583149917295,0.4747201336986285,0.6768225443683556,0.49180653844203437,2
GLOBAL,GBR,20,OECD,0,1,1,1,2000100432,100432,2000,0.5433478424363708,0.5425428242799694,0.03825658792152571,0.9981720389518158,3
GLOBAL,DEU,25,OECD,0,1,1,1,2000204816,204816,2000,0.3849944930241704,0.15590681457132785,0.7562515768009888,0.29979803425440454,3
GLOBAL,SWE,25,OECD,0,0,1,1,2000101585,101585,2000,0.4466356755339029,0.009524297685876456,1.0841856929279337,0.49518252001757684,2
GLOBAL,DEU,35,OECD,0,0,0,1,2000200759,200759,2000,0.8163441956345134,0.11194614339922204,0.3702845975394212,0.6719373927962852,1
GLOBAL,BEL,15,OECD,0,0,1,1,2000102084,102084,2000,0.3750059974215035,0.38770417257476203,0.015639489178474134,0.18714158441983608,2
GLOBAL,GBR,20,OECD,1,1,1,1,2000101474,101474,2000,0.15873071146711776,0.12534222233939518,0.5089226213987631,0.08637534317571773,4
GLOBAL,DEU,45,OECD,0,1,1,1,2000211619,211619,2000,0.33104617575365164,0.6132790648968254,0.15876020122732715,0.47064786381742957,3
GLOBAL,GBR,25,OECD,0,0,1,1,2000200797,200797,2000,0.03460626818896617,0.16784725336637335,0.5574440814355022,0.23104190473077127,2
GLOBAL,FRA,20,OECD,1,1,1,1,2000101097,101097,2000,0.8880727941481262,0.881291450705259,0.6586840400635444,0.7294426756291069,4
GLOBAL,GBR,25,OECD,0,1,1,1,2000214779,214779,2000,0.01175943902003042,0.005473138521189695,0.5424368958332875,0.08489649158356428,3
GLOBAL,GBR,25,OECD,0,0,1,1,2000103129,103129,2000,0.18386530855921523,0.29027710160295284,0.2788660409306565,0.15302334085308422,2
GLOBAL,GBR,20,OECD,0,0,1,1,2000100148,100148,2000,0.32285624980195776,0.33410702650487345,0.430061967202662,0.4982616635477467,2
GLOBAL,BEL,25,OECD,0,0,1,1,2000216522,216522,2000,0.8230636084394253,0.7380185963337703,0.61375863549817,0.6482484865713142,2
GLOBAL,PRT,20,OECD,0,0,1,1,2000214839,214839,2000,0.13992125335176464,0.3493684502139335,0.8286935367806636,0.23870262994717664,2
GLOBAL,GBR,30,OECD,0,0,1,1,2000001932,001932,2000,0.0879033584221578,0.0789571152741838,0.41182640455825553,0.11225262633535908,2
GLOBAL,GBR,15,OECD,0,0,1,1,2000103353,103353,2000,0.8798501952768855,0.8271189104637608,2.5746617136614476,1.00820179749128,2
GLOBAL,GBR,20,OECD,0,0,1,1,2000100095,100095,2000,0.4157372872504787,0.41551259975575405,0.11438237830607347,0.2444861188239399,2
GLOBAL,AUT,20,OECD,0,1,1,1,2000200880,200880,2000,0.961571106197426,0.9820750769507001,0.979313735946822,0.9653132975843796,3
GLOBAL,GBR,25,OECD,0,0,1,1,2000208781,208781,2000,4.108734351345777,4.047038375318307,2.133923379129693,2.1945831249571133,2
GLOBAL,GBR,25,OECD,0,1,1,1,2000207790,207790,2000,0.6473786296319656,1.3413666039689334,3.4240941585818745,0.36872576893197134,3
GLOBAL,GBR,30,OECD,0,1,1,1,2000002597,002597,2000,0.358679520898107,0.6185925128623142,0.6821063894317279,0.4641001205251698,3
GLOBAL,DEU,45,OECD,1,1,1,1,2000233025,233025,2000,0.8277069818627055,0.4918932915083224,0.5250181789309976,0.7337183803327546,4
GLOBAL,GBR,20,OECD,0,1,1,1,2000220705,220705,2000,1.7325717924206745,2.0422648115375917,1.510467061596392,2.0002516546944076,3
GLOBAL,FRA,45,OECD,1,1,1,1,2000101944,101944,2000,0.46234059250557946,0.457498103610476,0.8064515794686115,0.5122432845023176,4
GLOBAL,GBR,20,OECD,0,0,1,1,2000104907,104907,2000,0.9337143271950309,0.9318236970886298,0.9185394989679442,0.8962580845400059,2
GLOBAL,SWE,20,OECD,1,1,1,1,2000201038,201038,2000,0.15977682292681014,0.14260730414475672,0.6570369521039944,0.05187466013465302,4
GLOBAL,ITA,20,OECD,0,1,1,1,2000216663,216663,2000,0.04681030544970847,0.17105031633588477,0.2189344721097204,0.29906059516362876,3
GLOBAL,FRA,30,OECD,0,0,0,1,2000100346,100346,2000,0.7514344403100324,0.7670848544433609,0.4708238280136373,0.7735897948303883,1
GLOBAL,FRA,30,OECD,0,0,0,1,2000101173,101173,2000,0.5703252884899007,0.544499264122235,0.10956796512327334,0.4895082130949967,1
GLOBAL,DEU,45,OECD,1,1,1,1,2000226805,226805,2000,1.2550454316941846,0.641831690861174,1.494059053035084,1.3996305321654,4
GLOBAL,ESP,30,OECD,0,0,0,1,2000104966,104966,2000,0.27093041289163533,0.28099937802938774,0.12068275436042135,0.2553456614915388,1
GLOBAL,BEL,20,OECD,1,1,1,1,2000222049,222049,2000,0.7133468918988188,0.7590616052734015,0.8244667883964597,0.042407063474344975,4
GLOBAL,PRT,15,OECD,1,1,1,1,2000105890,105890,2000,0.34278381979721856,0.4622232231658119,0.7263353303349991,0.2666443661588261,4
GLOBAL,PRT,15,OECD,0,1,1,1,2000221451,221451,2000,0.46052446511007933,0.6320068864016491,0.6109587055467296,0.4609981584144698,3
GLOBAL,DEU,25,OECD,0,1,1,1,2000226807,226807,2000,0.6967860493790783,0.42307013096503276,0.27520112977267563,0.6688975597391106,3
GLOBAL,ITA,20,OECD,0,0,1,1,2000023586,023586,2000,0.6433467237290817,0.647928004849699,0.6014060511259575,0.45295821679883924,2
GLOBAL,BEL,20,OECD,0,0,1,1,2000101356,101356,2000,0.6581540456881789,0.0560165525474956,0.666061910793945,0.9564729425563123,2
