SAMPLE_ID,CISO,GICS_SECTOR,SIZEINDEX,GICS8_dummy,GICS6_dummy,GICS4_dummy,GICS2_dummy,MERGE_ID,GVKEY,VALUE_YEAR,PE_error,PB_error,EVSALES_error,EVEBIT_error,INDLVL_SELECT
GLOBAL,GBR,25,OECD,0,1,1,1,2000100911,100911,2000,1.0417523391447256,0.8288274873677046,3.0134177024726547,0.28460851623172667,3
GLOBAL,ITA,55,OECD,0,0,1,1,2000222601,222601,2000,0.8127092704360869,0.7772689148279833,0.9013110097812996,0.8200865384422046,2
GLOBAL,CHE,55,OECD,0,0,1,1,2000102304,102304,2000,0.32252793004096963,0.09645115946580969,0.09711784021097555,0.535454514753219,2
GLOBAL,GBR,10,OECD,0,1,1,1,2000209300,209300,2000,0.5366974290560507,0.5920556744178372,0.3661130007283591,0.5033660722284278,3
GLOBAL,GBR,20,OECD,0,1,1,1,2000205999,205999,2000,0.6228828320253194,0.9039252450974731,0.7608333220885928,0.5858072017163103,3
GLOBAL,ESP,55,OECD,1,1,1,1,2000102712,102712,2000,0.4958204236117235,0.5765885650718299,0.8889100528182606,0.5351824426900165,4
GLOBAL,FRA,25,OECD,0,1,1,1,2000100001,100001,2000,0.15186690219894708,0.07984192210016038,0.43299342718964906,0.3632392114575239,3
GLOBAL,ESP,15,OECD,0,1,1,1,2000101529,101529,2000,0.34957936425363084,0.43701622121032685,0.16872928562112519,0.24762005861032088,3
GLOBAL,CHE,35,OECD,0,0,1,1,2000220387,220387,2000,0.6904095863145673,0.06277859795616415,1.3789046613440625,0.4029571872873295,2
GLOBAL,ESP,20,OECD,1,1,1,1,2000222186,222186,2000,0.4653297484171817,0.44280276790714906,0.3660524899665739,0.28685426923413626,4
GLOBAL,DEU,25,OECD,0,1,1,1,2000221244,221244,2000,0.3263106337752212,0.3173826730823484,0.11680469688014428,0.009150470239232798,3
GLOBAL,DEU,45,OECD,0,0,1,1,2000228576,228576,2000,0.8729293129520534,0.9716526379853994,0.9888944663165976,0.94300260973481,2
GLOBAL,CHE,20,OECD,1,1,1,1,2000226716,226716,2000,0.013674881142391,0.017967787991844352,0.2638607632891876,0.05779985415244405,4
GLOBAL,GBR,25,OECD,0,1,1,1,2000014222,014222,2000,0.10960276377899195,0.5672468369431739,5.171057637141579,0.20917720547713636,3
GLOBAL,SWE,20,OECD,0,0,1,1,2000103051,103051,2000,0.5162149665112311,0.4231856478231834,0.027591291424296793,0.6008934881810917,2
GLOBAL,GBR,15,OECD,1,1,1,1,2000220814,220814,2000,0.19370611602920834,0.2204004492032078,0.24579483228970786,0.11662907230277753,4
GLOBAL,GBR,20,OECD,0,1,1,1,2000207519,207519,2000,0.5604357493422552,0.6594375760279578,0.7505842946408636,0.28081244646545667,3
GLOBAL,FIN,25,OECD,1,1,1,1,2000211419,211419,2000,0.11533382254469539,0.05713386396362748,0.04821280180110323,0.12542227196687328,4
GLOBAL,CHE,45,OECD,0,1,1,1,2000103384,103384,2000,0.5793835061988255,0.2881651538437348,6.197499554395981,0.4977225538950206,3
GLOBAL,DEU,15,OECD,1,1,1,1,2000100004,100004,2000,0.4349471764846285,0.3180356095935045,0.23445971648977518,0.14616609274059836,4
GLOBAL,GRC,15,OECD,0,1,1,1,2000243064,243064,2000,0.6724994521618484,0.8233102678633607,0.813552480123677,0.5997898756145652,3
GLOBAL,NLD,20,OECD,1,1,1,1,2000102168,102168,2000,0.125006793153704,0.4709864770343764,0.29402660485250215,0.14276995216148394,4
GLOBAL,CHE,20,OECD,0,1,1,1,2000215919,215919,2000,0.8386317200201393,0.8188221633674886,0.8603510759446128,0.7276590769746484,3
GLOBAL,GBR,10,OECD,0,1,1,1,2000100363,100363,2000,0.3150742717056661,0.24009083526512867,2.2564485520298123,0.8651386267339585,3
GLOBAL,FIN,25,OECD,0,0,1,1,2000101737,101737,2000,0.004907280823932982,0.00574003214930963,0.2687891904945823,0.2696055849920087,2
GLOBAL,GBR,35,OECD,0,0,1,1,2000100423,100423,2000,0.3943572954708401,0.3867436962487984,0.27807848343027675,0.18394820699126668,2
GLOBAL,GBR,20,OECD,0,1,1,1,2000210809,210809,2000,0.854691822611289,0.47982354684621814,0.32919936229304964,0.7818027427876801,3
GLOBAL,GBR,15,OECD,0,1,1,1,2000200189,200189,2000,0.9125537869703211,0.6317865021337127,0.9497287209729806,0.9244632484077226,3
GLOBAL,DEU,20,OECD,0,1,1,1,2000212536,212536,2000,0.2542716847171761,0.5741771636221396,0.6715051581573173,0.0105843949700883,3
GLOBAL,CHE,25,OECD,0,1,1,1,2000102243,102243,2000,0.07054232166629104,0.13952236126327872,0.29277913066897826,0.3536553702273639,3
GLOBAL,GBR,45,OECD,0,0,0,1,2000109179,109179,2000,0.5914263425477579,0.7586450881743337,0.9302500382480275,0.7454302242080217,1
GLOBAL,ITA,25,OECD,1,1,1,1,2000102835,102835,2000,0.01979702064524,0.1250388903739726,0.24725907575495393,0.14667188257940553,4
GLOBAL,ITA,25,OECD,0,1,1,1,2000202029,202029,2000,0.6365960543012698,0.090417893933643,0.015409896842981144,0.5648945434218686,3
